temperatura,humidade,unidade_temperatura
"45.3","0.89","f"
"45.01","0.86","f"
"9.377777777777778","0.89","c"
"42.7","0.83","f"
"6.977777777777779","0.83","c"
"7.11111111111111","0.85","c"
"5.522222222222221","0.95","c"
"6.527777777777778","","c"
"10.82222222222222","0.82","c"
"56.79","0.72","f"
"","0.67","c"
"17.144444444444446","0.54","c"
"64.04","","f"
"63.2","0.51","f"
"18.87777777777778","0.47","c"
"66.04","0.46","f"
"15.38888888888889","0.6","c"
"15.550000000000002","0.63","c"
"14.255555555555553","0.69","c"
"55.66","0.7","f"
"52.79","0.77","f"
"52.13","","f"
"10.116666666666667","0.79","c"
"50.36","0.77","f"
"10.42222222222222","0.62","c"
"45.62","0.66","f"
"52.13","0.8","f"
"5.044444444444443","0.79","c"
"4.816666666666667","0.82","c"
"4.272222222222221","0.83","c"
"5.155555555555556","0.85","c"
"5.5277777777777795","0.83","c"
"7.933333333333334","0.78","c"
"54.0","0.72","f"
"59.17","0.61","f"
"17.355555555555558","","c"
"66.21","0.46","f"
"68.08","0.4","f"
"69.89","0.4","f"
"70.13","0.37","f"
"20.11666666666666","0.4","c"
"68.39","","f"
"20.0","0.43","c"
"64.04","0.5","f"
"16.06111111111111","0.53","c"
"","0.55","f"
"14.422222222222224","","c"
"14.255555555555553","0.59","c"
"13.77222222222222","0.6","c"
"55.91","0.63","f"
"5.466666666666669","0.87","c"
"52.25","0.83","f"
"11.183333333333334","0.89","c"
"","0.95","c"
"11.11111111111111","0.93","c"
"11.11111111111111","0.93","c"
"12.166666666666666","0.82","c"
"12.755555555555556","0.79","c"
"13.838888888888887","0.84","c"
"","0.73","c"
"17.516666666666666","0.67","c"
"63.29","0.67","f"
"17.36111111111111","0.71","c"
"62.97","0.74","f"
"15.633333333333333","0.81","c"
"56.44","0.9","f"
"","","c"
"41.53","0.99","f"
"5.777777777777777","0.93","c"
"4.605555555555555","0.96","c"
"38.7","0.96","f"
"4.649999999999999","0.96","c"
"5.072222222222224","0.96","c"
"39.87","0.93","f"
"6.1833333333333345","0.82","c"
"5.038888888888889","0.93","c"
"36.71","0.93","f"
"37.8","0.93","f"
"1.6499999999999995","0.93","c"
"1.633333333333332","0.93","c"
"1.4944444444444431","0.93","c"
"2.688888888888891","0.8","c"
"3.2333333333333334","","c"
"3.544444444444446","","c"
"5.1611111111111105","0.77","c"
"43.96","","f"
"6.55","0.71","c"
"51.92","0.71","f"
"10.116666666666667","0.76","c"
"51.87","0.66","f"
"10.65","0.7","c"
"10.050000000000002","","c"
"45.89","0.66","f"
"6.816666666666668","0.71","c"
"41.73","0.72","f"
"6.122222222222224","0.72","c"
"43.18","0.75","f"
"42.81","0.75","f"
"41.79","0.88","f"
"4.549999999999999","0.76","c"
"","0.7","c"
"2.694444444444445","0.73","c"
"2.7999999999999994","0.76","c"
"2.438888888888889","0.76","c"
"2.922222222222221","0.76","c"
"3.8333333333333326","0.71","c"
"4.2444444444444445","0.73","c"
"4.816666666666667","0.72","c"
"6.072222222222222","0.7","c"
"45.65","0.7","f"
"9.07777777777778","","c"
"9.049999999999999","0.62","c"
"","0.65","f"
"9.183333333333334","0.65","c"
"7.455555555555557","0.7","c"
"","0.75","f"
"6.433333333333333","0.75","c"
"6.127777777777778","","c"
"4.8055555555555545","0.83","c"
"5.183333333333333","0.84","c"
"4.111111111111111","0.85","c"
"38.14","","f"
"8.338888888888887","0.88","c"
"4.111111111111111","0.91","c"
"2.566666666666665","0.94","c"
"38.67","0.93","f"
"41.38","0.92","f"
"40.35","0.92","f"
"","0.87","f"
"50.09","","f"
"53.96","0.66","f"
"54.86","0.63","f"
"13.933333333333332","0.58","c"
"15.094444444444447","0.59","c"
"59.27","0.5","f"
"61.12","0.44","f"
"61.25","0.55","f"
"","0.5","c"
"16.099999999999998","0.56","c"
"55.32","0.68","f"
"13.850000000000001","0.64","c"
"55.0","0.69","f"
"53.87","0.72","f"
"","0.81","f"
"10.444444444444443","0.83","c"
"9.466666666666665","0.8","c"
"51.85","0.74","f"
"7.138888888888889","","c"
"","","c"
"43.9","0.86","f"
"4.855555555555557","0.86","c"
"7.03888888888889","0.84","c"
"","0.84","f"
"","0.72","f"
"55.0","0.71","f"
"13.81111111111111","0.65","c"
"16.016666666666666","","c"
"62.83","0.47","f"
"17.144444444444446","0.43","c"
"17.77777777777778","","c"
"64.0","0.37","f"
"","0.43","c"
"61.08","0.52","f"
"14.049999999999999","0.63","c"
"13.08888888888889","0.67","c"
"","0.72","c"
"12.777777777777779","","c"
"54.91","0.67","f"
"54.08","0.69","f"
"11.71111111111111","0.71","c"
"51.49","0.86","f"
"12.200000000000001","0.59","c"
"53.96","0.6","f"
"11.688888888888888","0.68","c"
"52.17","0.77","f"
"11.133333333333333","0.77","c"
"11.43888888888889","0.77","c"
"13.033333333333335","0.81","c"
"17.244444444444444","0.62","c"
"63.93","0.53","f"
"64.12","0.56","f"
"18.86111111111111","0.56","c"
"65.6","0.56","f"
"17.82222222222222","0.56","c"
"17.800000000000004","0.59","c"
"17.349999999999998","0.57","c"
"16.06666666666667","0.67","c"
"","0.73","f"
"57.06","0.78","f"
"12.755555555555556","0.84","c"
"12.755555555555556","","c"
"","0.86","f"
"11.183333333333334","0.93","c"
